,id,name,lat,lon,fequency
87,1112,Louis Loder St opp 1st Hartung Cr,-35.446523,149.114891,465
88,1113,Louis Loder St after 1st Cochrane Cr,-35.44801,149.115224,465
89,1114,44 Louis Loder St,-35.448128000000004,149.115262,476
90,1115,Louis Loder St before 2nd Vonwiller Cr,-35.450545,149.117412,465
91,1116,Louis Loder St at 2nd Conlon Cr,-35.450595,149.117269,476
92,1117,Clift Cr before Johnson Dr,-35.43325,149.118429,421
93,1118,Clift Cr after Johnson Dr,-35.433112,149.11822800000002,423
94,1119,Clift Cr after 2nd Chauncy Cr,-35.431157,149.119171,423
95,1120,Clift Cr after Fullerton Cr,-35.431117,149.119349,421
96,1121,Deamer Cr before Meeson St,-35.429241,149.12143899999998,373
97,1122,Deamer Cr before Clift Cr,-35.429355,149.12094199999999,388
98,1123,Deamer Cr before 2nd Twamley Cr,-35.430849,149.123538,373
99,1124,Deamer Cr opp 1st Twamley Cr,-35.430915,149.123421,388
100,1125,69 Deamer Cr,-35.431494,149.127065,373
101,1126,Deamer Cr opp 69,-35.431723999999996,149.126983,388
102,1127,Deamer Cr opp 1st Nina Jones Cr,-35.429424,149.128794,373
103,1128,Deamer Cr after 2nd Nina Jones Cr,-35.429786,149.128673,388
104,1129,Deamer Cr after Heagney Cr,-35.427319,149.129802,388
105,1130,Deamer Cr before Heagney Cr,-35.427189,149.12961299999998,373
106,1131,Heagney Cr before Deamer Cr,-35.426486,149.130996,388
107,1132,Heagney Cr opp Deamer Cr,-35.426567,149.130245,373
108,1133,Heagney Cr before 2nd Couchman Cr,-35.424588,149.13321200000001,388
109,1134,Heagney Cr before Enid Lorimer Cct,-35.424695,149.133027,373
110,1135,Heagney Cr before 1st Couchman Cr,-35.423045,149.13492,388
111,1136,Heagney Cr after Enid Lorimer Cct,-35.423025,149.13453,373
112,1137,Heagney Cr after 1st Henry Melville Cr,-35.421378999999995,149.13599399999998,388
113,1138,Heagney Cr after 2nd Emily Bulcock Cr,-35.420927,149.136018,373
114,1139,Heagney Cr opp Gilmore PS,-35.419229,149.136097,388
115,1140,Gilmore PS Heagney Cr,-35.419093,149.135985,373
116,1143,Proctor St opp Maclean St,-35.415211,149.12515,379
117,1144,Proctor St after MacLean St,-35.415327000000005,149.125257,393
118,1147,Chisholm Shops Benham St,-35.414421000000004,149.129066,820
119,1148,Benham St opp Chisholm Shops,-35.414484,149.129233,1166
120,1149,Coyne St before Carson St,-35.409005,149.127953,756
121,1150,Coyne St opp Carson St,-35.409158000000005,149.127772,728
122,1151,19 Coyne St,-35.409167,149.123106,756
123,1152,Coyne St opp 19,-35.409226000000004,149.122726,728
124,1153,Bugden Av before 2nd Larcombe Cr,-35.406964,149.12043300000002,433
125,1154,Bugden Av before Coyne St,-35.406757,149.120472,443
126,1155,Bugden Av before 2nd Demaine Cr,-35.404229,149.122455,433
127,1156,Bugden Av after Fihelly St,-35.404353,149.121963,443
128,1157,Bugden Av before 1st Mullan St,-35.402395,149.124135,433
129,1158,Bugden Av opp 2nd Mullan St,-35.401345,149.12354299999998,443
130,1159,Bugden Av after 2nd Mullan St,-35.398518,149.122122,433
131,1160,Bugden Av opp 309,-35.398528999999996,149.122194,443
132,1161,Bugden Av after 1st Dash Cr,-35.400242,149.115685,433
133,1162,Bugden Av after Partridge St,-35.401436,149.114272,396
134,1163,Bugden Av opp 2nd Maughan Cr,-35.40132,149.112769,429
135,1164,Bugden Av before 2nd Maughan Cr,-35.401832,149.110301,396
136,1165,Bugden Av after 1st Appel Cr,-35.401740999999994,149.110016,429
137,1166,Bugden Av after Sternberg Cr,-35.40265,149.107483,429
138,1167,Bugden Av before Sternberg Cr,-35.402691,149.10755600000002,396
139,1168,Bugden Av before 2nd Appel Cr,-35.39954,149.115823,443
140,1170,Sternberg Cr after Erindale Dr,-35.402260999999996,149.103288,402
141,1171,Sternberg Cr after Ashley Dr,-35.401941,149.100575,782
142,1172,Erindale Interchange Plt 1,-35.403649,149.099162,2392
143,1173,Erindale Interchange Plt 2,-35.403801,149.09937299999999,2785
144,1174,Sternberg Cr before Maltby Cct,-35.401992,149.102749,416
145,1176,Erindale College McBryde Cr,-35.403907000000004,149.095995,872
