id,name,lat,lon,fequency
0,201,Fremantle Dr after 1st McKail Cr,-35.347043,149.047943,247
1,300,Ainslie PS Donaldson St,-35.27362,149.140829,236
2,401,MacFarlane Burnet Av after 1st Eccles Cct,-35.21606,149.00305,488
3,402,MacFarlane Burnet Av before Hollows Cct,-35.212835999999996,149.004189,488
4,403,MacFarlane Burnet Av after Hollows Cct,-35.212665,149.00401599999998,488
5,404,MacFarlane Burnet Av before De Gruchy Pl,-35.2162,149.003141,488
6,405,MacFarlane Burnet Av after Constance Stone St,-35.209343,149.00322,488
7,406,MacFarlane Burnet Av opp Constance Stone St,-35.209295000000004,149.002975,488
8,600,O'Hanlon Pl after Gold Creek Rd,-35.192122,149.08597,239
9,601,O'Hanlon Pl before Gold Creek Rd,-35.192143,149.08607,239
10,1001,Drumston St opp MacKillop College,-35.426111999999996,149.091607,231
11,1002,Mackillop College Drumston St,-35.425974,149.091709,234
12,1007,Ellerston Av opp Isabella Plains Shops,-35.427862,149.091027,478
13,1008,Isabella Plains Shops Ellerston Av,-35.427477,149.09142,489
14,1009,Mackillop College Ellerston Av,-35.425653999999994,149.095483,247
15,1010,Ellerston Av opp Mackillop College,-35.425764,149.095466,255
16,1011,Ellerston Av before 1st Abercorn Cr,-35.426368,149.09800800000002,247
17,1012,Ellerston Av opp 2nd Abercorn Cr,-35.426603,149.09811399999998,255
18,1013,Ellerston Av before 2nd Abercorn Cr,-35.428486,149.10062299999998,247
19,1014,Ellerston Av before 2nd Groveland Cr,-35.428391,149.10036000000002,255
20,1015,Ellerston Av before Ashley Dr,-35.42879,149.10288899999998,247
21,1016,Ellerston Av after Ashley Dr,-35.428922,149.102838,255
22,1017,Calwell Shops Webber Cr,-35.435094,149.113745,1930
23,1018,Boddington Cr after Bacchus Cct,-35.379387,149.05488300000002,213
24,1019,Casey Cr before Carpenter Cl,-35.436661,149.11129,231
25,1020,Casey Cr opp Carpenter Cl,-35.436859000000005,149.110846,234
26,1027,Duggan St after Downard St,-35.439864,149.098624,234
27,1028,Duggan St after Beckett St,-35.439836,149.098479,231
28,1029,Duggan St before 1st Pennington Cr,-35.441602,149.100907,231
29,1030,Duggan St before 2nd Andrew Cr,-35.441603,149.101116,234
30,1031,Tharwa Dr after Duggan St,-35.444823,149.10572,234
31,1032,Tharwa Dr before Duggan St,-35.444455,149.103996,231
32,1033,Lawrence Wackett Cr opp Theodore PS,-35.447275,149.12461299999998,231
33,1034,Theodore PS Lawrence Wackett Cr,-35.447346,149.12448700000002,234
34,1035,Lawrence Wackett Cr after 1st Burdett Cr,-35.449867,149.12256599999998,234
35,1036,Lawrence Wackett Cr before Chippindall Cct,-35.450002000000005,149.122491,231
36,1037,Chippindall Cct opp Goldfinch Cct,-35.450823,149.120097,234
37,1038,Chippindall Cct after Latchford St,-35.450720000000004,149.120304,231
38,1044,Hurtle Av after 1st Noarlunga Cr,-35.434802000000005,149.086149,517
39,1045,Hurtle Av opp 2nd Noarlunga Cr,-35.434726,149.085969,488
40,1046,Barr Smith Av after Salas St,-35.42673,149.074178,488
41,1047,Barr Smith Av after Don Dunstan Dr,-35.426899,149.074185,517
42,1052,Barr Smith Av opp Hurtle Av,-35.431101,149.08000800000002,488
43,1053,Barr Smith Av after Hurtle Av,-35.431263,149.08006,517
44,1054,Hurtle Av opp Ebenezer St,-35.434405,149.08358700000002,488
45,1055,Hurtle Av after Ebenezer St,-35.433937,149.08288100000001,517
46,1056,Hurtle Av opp Bonython PS,-35.432126000000004,149.08231,517
47,1057,Bonython PS Hurtle Av,-35.431441,149.082295,488
48,1059,Homeworld Soward Way,-35.418682000000004,149.067883,2583
49,1060,Boddington Cr before Reynell Pl,-35.379517,149.055117,213
50,1061,Soward Way after Anketell St,-35.417271,149.070695,1575
51,1062,Soward Way before Anketell St,-35.417379,149.070745,1582
52,1063,Tuggeranong Bus Depot Scollay St,-35.422657,149.06973,517
53,1064,Scollay St opp Tuggeranong Bus Depot,-35.421808,149.069227,488
54,1065,Anketell St before Oakden St,-35.422697,149.072912,481
55,1066,Anketell St before Athllon Dr,-35.423711,149.07387,491
56,1067,Anketell St opp Tuggeranong Square,-35.419798,149.070847,491
57,1068,Tuggeranong Square Anketell St,-35.419976,149.070832,481
58,1069,Ellerston Av before Noorooma St,-35.430392,149.08816000000002,231
59,1070,Ellerston Av opp Noorooma St,-35.430127,149.088257,234
60,1071,Ellerston Av after Keverstone Cct,-35.431594,149.088799,231
61,1072,Ellerston Av opp Keverstone Cct,-35.431554999999996,149.088905,234
62,1073,Ellerston Av after Jasper Cl,-35.431903000000005,149.09237099999999,231
63,1074,Ellerston Av before 2nd Kadina Cr,-35.431674,149.092063,234
64,1075,Ellerston Av after Johnston Dr,-35.433965,149.094672,231
65,1076,Ellerston Av before Johnson Dr,-35.433781,149.094651,234
66,1077,Outtrim Av before Duggan St,-35.435753000000005,149.09866499999998,491
67,1078,Outtrim Av opp Duggan St,-35.435688,149.09841,488
68,1079,Outtrim Av before 2nd Carter Cr,-35.435899,149.102015,488
69,1080,Outtrim Av after Gurr St,-35.435978999999996,149.101939,491
70,1081,Outtrim Av after 2nd Carter Cr,-35.436062,149.104675,488
71,1082,Outtrim Av before Gurr St,-35.436087,149.10483200000002,491
72,1083,Outtrim Av after Costello Cct,-35.435623,149.109478,488
73,1084,Outtrim Av after Mountain Cct,-35.435705,149.109488,491
74,1085,Calwell PS Casey Cr,-35.438693,149.110352,237
75,1086,Casey Cr opp Calwell PS,-35.43858,149.11041200000003,234
76,1089,Casey Cr after O'Connor Cct,-35.440019,149.11313700000002,234
77,1090,Casey Cr opp O'Connor Cct,-35.439958000000004,149.113233,231
78,1091,Calwell Park & Ride Johnson Dr,-35.433499,149.111284,488
79,1092,Casey Cr opp Calwell HS,-35.441119,149.115918,234
80,1093,Johnson Dr Opp Calwell Park & Ride,-35.433209999999995,149.112594,231
81,1094,St Francis of Assisi PS Casey Cr,-35.441065,149.11888100000002,240
82,1095,Were St before Tharwa Dr,-35.440384,149.12072,231
83,1096,Were St after Tharwa Dr,-35.440535,149.120676,234
84,1109,Louis Loder St at 1st Vonwiller Cr,-35.445646,149.116782,234
85,1110,Louis Loder St before 2nd Hartung Cr,-35.445576,149.11667,231
86,1111,Louis Loder St after 2nd Mehaffey Cr,-35.446537,149.114521,231
87,1112,Louis Loder St opp 1st Hartung Cr,-35.446523,149.114891,234
88,1113,Louis Loder St after 1st Cochrane Cr,-35.44801,149.115224,234
89,1114,44 Louis Loder St,-35.448128000000004,149.115262,231
90,1115,Louis Loder St before 2nd Vonwiller Cr,-35.450545,149.117412,234
91,1116,Louis Loder St at 2nd Conlon Cr,-35.450595,149.117269,231
92,1117,Clift Cr before Johnson Dr,-35.43325,149.118429,231
93,1118,Clift Cr after Johnson Dr,-35.433112,149.11822800000002,231
94,1119,Clift Cr after 2nd Chauncy Cr,-35.431157,149.119171,231
95,1120,Clift Cr after 1st Fullerton Cr,-35.431117,149.119349,231
96,1121,Deamer Cr before Meeson St,-35.429241,149.12143899999998,227
97,1122,Deamer Cr before Clift Cr,-35.429355,149.12094199999999,238
98,1123,Deamer Cr before 2nd Twamley Cr,-35.430849,149.123538,227
99,1124,Deamer Cr opp 1st Twamley Cr,-35.430915,149.123421,238
100,1125,69 Deamer Cr,-35.431494,149.127065,227
101,1126,Deamer Cr opp 69,-35.431723999999996,149.126983,238
102,1127,Deamer Cr opp 1st Nina Jones Cr,-35.429424,149.128794,227
103,1128,Deamer Cr after 2nd Nina Jones Cr,-35.429786,149.128673,238
104,1129,Deamer Cr after Heagney Cr,-35.427319,149.129802,238
105,1130,Deamer Cr before Heagney Cr,-35.427189,149.12961299999998,227
106,1131,Heagney Cr before Deamer Cr,-35.426486,149.130996,238
107,1132,Heagney Cr opp Deamer Cr,-35.426567,149.130245,227
108,1133,Heagney Cr before 2nd Couchman Cr,-35.424588,149.13321200000001,238
109,1134,Heagney Cr before Enid Lorimer Cct,-35.424695,149.133027,227
110,1135,Heagney Cr before 1st Couchman Cr,-35.423045,149.13492,238
111,1136,Heagney Cr after Enid Lorimer Cct,-35.423025,149.13453,227
112,1137,Heagney Cr after 1st Henry Melville Cr,-35.421378999999995,149.13599399999998,238
113,1138,Heagney Cr after 2nd Emily Bulcock Cr,-35.420927,149.136018,227
114,1139,Heagney Cr opp Gilmore PS,-35.419229,149.136097,238
115,1140,Gilmore PS Heagney Cr,-35.419093,149.135985,227
116,1143,Proctor St opp Maclean St,-35.415211,149.12515,247
117,1144,Proctor St after MacLean St,-35.415327000000005,149.125257,255
118,1147,Chisholm Shops Benham St,-35.414421000000004,149.129066,470
119,1148,Benham St opp Chisholm Shops,-35.414484,149.129233,736
120,1149,Coyne St before Carson St,-35.409005,149.127953,469
121,1150,Coyne St opp Carson St,-35.409158000000005,149.127772,458
122,1151,19 Coyne St,-35.409167,149.123106,469
123,1152,Coyne St opp 19,-35.409226000000004,149.122726,458
124,1153,Bugden Av before 2nd Larcombe Cr,-35.406964,149.12043300000002,227
125,1154,Bugden Av before Coyne St,-35.406757,149.120472,238
126,1155,Bugden Av before 2nd Demaine Cr,-35.404229,149.122455,227
